context,type
Сколько стоит общий анализ,price_and_timing
Стоимость процедур,price_and_timing
Какова стоимость анализа на гормоны щитовидной железы,price_and_timing
Через сколько дней готовы результаты,price_and_timing
Когда придут анализы из лаборатории,price_and_timing
Можно ли узнать цену,price_and_timing
Сколько стоит анализ,price_and_timing
Как долго делают анализы,price_and_timing
Цена приёма,price_and_timing
Когда будут готовы анализы,price_and_timing
Как правильно сдавать анализы,preparation
Что можно делать перед анализами,preparation
Что нельзя делать перед анализами,preparation
Нужно ли отменять лекарства перед анализами,preparation
Как подготовиться к анализам,preparation
Что нельзя делать перед обследованиями,preparation
Что нельзя есть перед обследованиями,preparation
Что запрещено,preparation
Что можно,preparation
Как подготовиться,preparation
Телефон регистратуры поликлиники,contacts
Как записаться,contacts
Куда писать жалобу на врача,contacts
Номер горячей линии,contacts
Электронная почта администрации,contacts
Как вызвать врача на дом,contacts
Где найти контакты,contacts
Телефон для экстренных случаев,contacts
Как связаться с заведующим отделением,contacts
Куда звонить,contacts
Во сколько открывается поликлиника,schedule
Работает ли клиника в субботу,schedule
График работы процедурного кабинета,schedule
Когда принимают врачи,schedule
Часы работы лаборатории,schedule
Работает ли по воскресеньям,schedule
В какое время можно прийти,schedule
Когда перерыв на обед,schedule
График работы в праздничные дни,schedule
До какого времени вечером можно записаться,schedule
