вопрос,ответ
Общие правила к сдаче мочи,"Общий анализ мочи. Перед забором следует провести гигиену внешних половых органов. Собирается только ранняя порция мочи сразу после сна. В лабораторию сдается 100 мл в чистой посуде.
Анализ мочи по Нечипоренко. Проводится туалет внешних половых органов, как и перед общим анализом мочи, после чего собирается средняя порция ранней мочи в пластиковый контейнер с  авинчивающейся крышкой объемом 100 мл."
Анализ мочи для микробиологического исследования,"Оптимальным является исследование мочи на микрофлору до начала антибактериальной терапии или после назначенного курса (не менее 3-5 дней после окончания).
Перед отбором мочи обязателен тщательный туалет наружных половых органов кипяченой водой с мылом.
Исследованию подлежит средняя порция (полученная после частичного опорожнения мочевого пузыря) утренней свободно выпущенной мочи.
Собирается моча в стерильную посуду, полученную в лаборатории, в объеме 10-20 мл.
Проба доставляется в лабораторию в течение 1-2 часов с момента получения.
"
Анализ мокроты для микробиологического исследования,"Исследование мокроты на микрофлору назначается до начала антибактериальной терапии или после назначенного курса (не менее 5-7 дней после окончания).
Перед отбором мокроты пациент чистит зубы и полощет рот кипяченой водой с содой.
При необходимости допускается применение отхаркивающих средств (травы, ингаляции теплым содовым раствором и т.д.).
Собирают мокроту во время приступа кашля в стерильную посуду, выданную в лаборатории.
Пробу надлежит доставить в лабораторию в течение 1-2 часов от момента получения.
"
Забор материала из зева и ротовой полости на микрофлору,"Натощак. Предварительно не ополаскивая рот и не чистить зубы. Допускается взятие мазка через 2 часа после приёма пищи, жидкости."
Забор материала для исследования кала на дисбактериоз,"Все обследуемые за 1-3 дня до взятия пробы должны находиться на диете, исключающей прием продуктов, усиливающих процессы брожения в кишечнике, а также алкоголь,  антимикробные  лекарственные  преператы,  бакпрепараты  (колибактерин,
 
бифидумбактерин, лактобактерин и др). От момента последнего приема пищи до взятия материала должно пройти не менее 8-10 часов.
Оптимальным является отбор пробы испражнений, полученных естественным путем в день исследования: время для отбора испражнений надо выбрать так, чтобы в течение 1- 1,5 часов он был доставлен в бактериологическую лабораторию.
Допустим предварительный прием слабительных средств растительного происхождения (свекла, чернослив, препараты сенны и др.). Нельзя производить отбор кала после клизмы или при небольшом количестве каловых масс.
Сбор материала производят из судна, горшка или другой посуды, тщательно промытой горячей водой, на дно которой постелен лист чистой бумаги, проглаженной горячим утюгом. Пробу кала грудных детей забирают с чистой пеленки или клеенки в стерильный контейнер.
Для исследования испражнения берут из последних порций стерильной лопаткой или петлей, не касаясь стенок горшка из 3-4-х мест (усредненная проба). Отбирают частицы кала из глубины массы в количестве 1-2 гр.
При наличии патологических примесей (слизь, гной) их включают в отбираемую пробу.
При транспортировке не допускается охлаждения кала.
"
Сдача анализов на ПЦР- исследование,"Для получения плазмы забор крови производят натощак или через 3 часа после приема пищи.
Для анализа отбирают первую порцию утренней мочи в количестве 15−25 мл в специальный сухой стерильный флакон или контейнер на 50-60 мл как у мужчин, так и у женщин. У женщин сбор мочи проводится после тщательного туалета наружных половых органов, также не следует производить сбор мочи во время менструации.
Особенности взятия клинического материала из влагалища:
В  день  обследования женщины  не  должны  проводить туалет  половых  органов и спринцевание влагалища. Клинический материал должен быть получен ДО проведения мануального исследования.
Особенности взятия клинического материала из уретры у женщин:
Перед взятием клинического материала пациентке рекомендуется воздержаться от мочеиспускания в течение 1,5-2 часов.
Особенности взятия клинического материала из уретры у мужчин:
Перед взятием биоматериала пациенту рекомендуется воздержаться  от  мочеиспускания  в  течение 1,5–2 часов. В течение трёх дней перед взятием биоматериала рекомендуется половое воздержание или использование защищенного полового контакта.
Особенности взятия эякулята (семенной жидкости):
Внимание! Перед взятием эякулята рекомендуется половое воздержание в течение трёх суток до исследования.
Взятия клинического материала с крайней плоти головки полового члена (ГПЧ):
Перед взятием биоматериала пациенту рекомендуется воздержаться  от мочеиспускания в течение 1,5–2 часов.

"
"Дуплексное сканирование брюшного отдела аорты, висцеральных сосудов и сосудов почек (УЗДГ)","Голод накануне исследования в течение 8 часов.
 
Накануне в течение недели соблюдение диеты, исключающей продукты
вызывающие повышенное газообразование: молоко, капуста, бобовые, белый хлеб, газированные напитки.
Обязательный приём Эспумизана по 2 капсулы 3 раза в день, за 3 дня до исследования.
УЗ – исследование нельзя проводить в течение 2 – 3 дней после ФГС, ирригоскопии, R – скопии желудка и тонкого кишечника.
"
"Исследованию эхоангиография сосудов верхних, нижних конечностей, брахиоцефальных артерий",Личная гигиена
"Эхо КГ, ЧПЭхоКГ, Чреспищеводная эхокардиография","Как правило, при проведении одно- и двухмерной эхокардиографии, а также допплерэхокардиографии, в какой-либо особой подготовке нет необходимости. В том случае, если назначается чреспищеводное исследование, существует ряд ограничений. Так, последний прием пищи должен быть не позже, чем за шесть часов до процедуры. Пить тоже не рекомендуется. Проводится на тощак. Непосредственно перед проведением манипуляции следует снять зубные протезы.
При себе иметь данные ФГС или рентгеноскопии пищевода, Эхо КГ, ЭКГ, полотенце.
"
ЭКГ по Холтеру,"В день перед запланированной процедурой нужно принять теплый душ. То же самое надо проделать и утром накануне. Чистая кожа лучше приспособлена для крепления электродов. Если контакт будет достаточно тесен, вероятность помех резко снизится. Обязательно провести водную процедуру и после сеанса. Это связано с нанесением специального геля на места крепления для лучшей проводимости тока. Главным требованием к состоянию человека является спокойствие. Если перед кардиологическим исследованием человек подвергался усиленной физической нагрузке, волнению или стрессу, необходимо прийти в состояние покоя. Лучше расслабиться, сидя в удобном положении.
Человек должен отказаться от всех тонизирующих напитков. В список входят чай, кофе, энергетические коктейли и тем более содержащие алкоголь. Делать это нужно не позднее, чем за 4-6 часов до начала процедуры. Это не относится к алкоголю. Пить его нельзя как минимум несколько суток перед проведением процедуры. Энергетические напитки, в составе которых присутствует немалая доза кофеина, не только искажают показания кардиографии, но и отрицательно сказываются на роботе многих органов. В течение часа перед процедурой не рекомендовано употреблять тяжелой и жирной пищи. Острое и соленое есть тоже не желательно. Обильный прием пищи может вызвать одышку и исказить результаты мониторинга. Если от завтрака отказываться по каким-либо причинам не рекомендовано или же просто не хочется, можно перекусить легкой едой в небольшом количестве.
Категорично запрещается курить до начала мероприятия. Табак сужает сосуды и делает неточными исходные материалы анализа.
Так же, как и стимуляторы, противопоказаны и сильные успокоительные. Если пациент примет подобные препараты, доктор может ошибочно диагностировать брадикардию (или тахикардию в случае стимулирующих средств).подразумевает выполнение ряда несложных мероприятий. Человек должен понимать, что исследование предполагает наблюдение работы сердца при обычном образе жизни.
 
Нужно вести повседневные дела, ходить на работу и не стараться повлиять на мониторинг.
При использовании прибора рекомендуется носить свободную одежду, желательно из натуральных материалов.
Одежда не должна иметь металлических деталей. Украшения из металла также придется снять. Перед использованием аппарата необходимо провести водные процедуры, так как во время исследования этого делать нельзя.
Во время мониторинга следует отказаться от:
• кофеина (кофе, крепкий чай, энергетики);
• алкоголя;
• чрезмерной физической нагрузки;
• плавания и купания;
• приема препаратов, влияющих на сердечную работу.
Мужчинам удалить (при необходимости) волосяной покров с передней поверхности грудной клетки.
Нанесение мазей, кремов и различных косметических средств нежелательно. Как и при обычном ЭКГ, необходимо соблюдение мер предосторожности. К ним относится прием кардиостимулирующих препаратов, стимуляторов нервной системы, сосудосуживающих.


"
